nta_name,tree_count
Allerton-Pelham Gardens,3843
Annadale-Huguenot-Prince's Bay-Eltingville,12969
Arden Heights,6999
Astoria,4393
Auburndale,5332
Baisley Park,4815
Bath Beach,1818
Battery Park City-Lower Manhattan,1311
Bay Ridge,7026
Bayside-Bayside Hills,9780
Bedford,3702
Bedford Park-Fordham North,1821
Bellerose,6246
Belmont,1637
Bensonhurst East,3348
Bensonhurst West,4258
Borough Park,5955
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,4351
Briarwood-Jamaica Hills,3278
Brighton Beach,1281
Bronxdale,1550
Brooklyn Heights-Cobble Hill,1767
Brownsville,3092
Bushwick North,3455
Bushwick South,4538
Cambria Heights,3324
Canarsie,5994
Carroll Gardens-Columbia Street-Red Hook,4346
Central Harlem North-Polo Grounds,3515
Central Harlem South,2670
Charleston-Richmond Valley-Tottenville,8216
Chinatown,1474
Claremont-Bathgate,1706
Clinton,2008
Clinton Hill,3017
Co-op City,2103
College Point,3474
Corona,2070
Crotona Park East,1546
Crown Heights North,6411
Crown Heights South,2120
Cypress Hills-City Line,3644
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2937
Douglas Manor-Douglaston-Little Neck,7302
Dyker Heights,3248
East Concourse-Concourse Village,2498
East Elmhurst,2165
East Flatbush-Farragut,3008
East Flushing,3247
East Harlem North,2591
East Harlem South,2014
East New York,9607
East New York (Pennsylvania Ave),2991
East Tremont,2593
East Village,1575
East Williamsburg,2296
Eastchester-Edenwald-Baychester,2629
Elmhurst,3307
Elmhurst-Maspeth,1996
Erasmus,1395
Far Rockaway-Bayswater,4972
Flatbush,6116
Flatlands,5589
Flushing,3227
Fordham South,1060
Forest Hills,7701
Fort Greene,2150
Fresh Meadows-Utopia,2872
Ft. Totten-Bay Terrace-Clearview,2906
Georgetown-Marine Park-Bergen Beach-Mill Basin,7449
Glen Oaks-Floral Park-New Hyde Park,6814
Glendale,4509
Gramercy,1172
Grasmere-Arrochar-Ft. Wadsworth,2133
Gravesend,1412
Great Kills,10734
Greenpoint,3375
Grymes Hill-Clifton-Fox Hills,2505
Hamilton Heights,2407
Hammels-Arverne-Edgemere,3187
Highbridge,1979
Hollis,2553
Homecrest,4247
Hudson Yards-Chelsea-Flatiron-Union Square,2988
Hunters Point-Sunnyside-West Maspeth,5242
Hunts Point,3521
Jackson Heights,6863
Jamaica,4252
Jamaica Estates-Holliswood,4254
Kensington-Ocean Parkway,2295
Kew Gardens,2024
Kew Gardens Hills,5088
Kingsbridge Heights,1184
Laurelton,4623
Lenox Hill-Roosevelt Island,2327
Lincoln Square,2065
Lindenwood-Howard Beach,4627
Longwood,1572
Lower East Side,1943
Madison,3644
Manhattanville,913
Marble Hill-Inwood,1754
Mariner's Harbor-Arlington-Port Ivory-Graniteville,3776
Maspeth,3290
Melrose South-Mott Haven North,2156
Middle Village,5345
Midtown-Midtown South,1196
Midwood,4860
Morningside Heights,2751
Morrisania-Melrose,2330
Mott Haven-Port Morris,2517
Mount Hope,2051
Murray Hill,7133
Murray Hill-Kips Bay,1746
New Brighton-Silver Lake,3539
New Dorp-Midland Beach,5452
New Springville-Bloomfield-Travis,8446
North Corona,2264
North Riverdale-Fieldston-Riverdale,2019
North Side-South Side,3484
Norwood,1981
Oakland Gardens,6059
Oakwood-Oakwood Beach,5675
Ocean Hill,2340
Ocean Parkway South,2537
Old Astoria,1341
Old Town-Dongan Hills-South Beach,4952
Ozone Park,3244
Park Slope-Gowanus,6314
Parkchester,790
Pelham Bay-Country Club-City Island,3196
Pelham Parkway,2312
Pomonok-Flushing Heights-Hillcrest,4985
Port Richmond,3084
Prospect Heights,1535
Prospect Lefferts Gardens-Wingate,3169
Queens Village,6856
Queensboro Hill,3020
Queensbridge-Ravenswood-Long Island City,1366
Rego Park,2460
Richmond Hill,5101
Ridgewood,6481
Rosedale,5372
Rossville-Woodrow,9251
Rugby-Remsen Village,3312
Schuylerville-Throgs Neck-Edgewater Park,5023
Seagate-Coney Island,1454
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,5321
SoHo-TriBeCa-Civic Center-Little Italy,2215
Soundview-Bruckner,1921
Soundview-Castle Hill-Clason Point-Harding Park,3819
South Jamaica,4077
South Ozone Park,7321
Springfield Gardens North,2967
Springfield Gardens South-Brookville,3754
Spuyten Duyvil-Kingsbridge,2017
St. Albans,7239
Stapleton-Rosebank,3840
Starrett City,688
Steinway,5436
Stuyvesant Heights,3879
Stuyvesant Town-Cooper Village,447
Sunset Park East,3224
Sunset Park West,3243
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,4823
Turtle Bay-East Midtown,2253
University Heights-Morris Heights,2002
Upper East Side-Carnegie Hill,4673
Upper West Side,5881
Van Cortlandt Village,2399
Van Nest-Morris Park-Westchester Square,3143
Washington Heights North,2684
Washington Heights South,2990
West Brighton,481
West Concourse,2142
West Farms-Bronx River,1623
West New Brighton-New Brighton-St. George,3970
West Village,3837
Westchester-Unionport,2820
Westerleigh,4954
Whitestone,7620
Williamsbridge-Olinville,3371
Williamsburg,1658
Windsor Terrace,2290
Woodhaven,4260
Woodlawn-Wakefield,4083
Woodside,2739
Yorkville,2269
